name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,duck_index,RwoB_index,big_match_index,prelim_metric,prelim_rank
V Kohli,IND,52.73,137.96,0.163,4.421,0.29,0.037,17.589,0.364,72.746,Best
RG Sharma,IND,31.32,139.24,0.192,3.786,0.121,0.071,9.779,0.264,43.61,Best
MJ Guptill,NZ,31.81,135.7,0.185,4.085,0.059,0.025,10.653,0.203,43.166,Best
Babar Azam,PAK,41.48,128.4,0.156,4.327,0.143,0.051,17.173,0.367,53.26,Best
PR Stirling,IRE,28.63,135.83,0.206,3.977,0.085,0.1,8.415,0.192,38.888,Best
AJ Finch,AUS,34.28,142.53,0.198,4.214,0.117,0.078,11.01,0.223,48.859,Best
DA Warner,AUS,32.88,141.3,0.195,4.04,0.111,0.061,10.949,0.263,46.459,Best
Mohammad Rizwan,PAK,49.07,127.3,0.144,4.342,0.219,0.041,18.918,0.37,62.466,Best
JC Buttler,ENG,35.01,144.66,0.189,3.61,0.21,0.06,10.88,0.22,50.645,Best
Mohammad Hafeez,PAK,26.46,122.03,0.159,3.028,0.12,0.065,9.759,0.13,32.289,Best
KS Williamson,NZ,33.29,123.01,0.143,3.376,0.129,0.047,14.141,0.2,40.95,Best
EJG Morgan,ENG,28.58,136.17,0.17,2.86,0.196,0.028,9.29,0.131,38.917,Best
Shoaib Malik,PAK,31.21,125.64,0.137,2.387,0.297,0.018,11.144,0.081,39.212,Best
Shakib Al Hasan,BAN,23.82,122.4,0.15,2.517,0.138,0.069,9.603,0.103,29.156,Good
Q de Kock,SA,32.52,137.33,0.194,4.063,0.114,0.076,10.392,0.203,44.66,Best
KL Rahul,IND,37.75,139.12,0.178,4.265,0.118,0.074,13.338,0.382,52.518,Best
DA Miller,SA,34.09,144.64,0.165,2.556,0.343,0.01,10.02,0.101,49.308,Best
GJ Maxwell,AUS,28.4,150.97,0.197,3.133,0.156,0.033,9.1,0.178,42.875,Best
BB McCullum,NZ,35.66,136.21,0.185,4.143,0.143,0.043,11.4,0.243,48.572,Best
Mahmudullah,BAN,23.57,117.3,0.124,1.991,0.204,0.035,9.681,0.053,27.648,Good
