name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,RwoB_index,big_match_index,prelim_metric,prelim_rank,kmeans_role,rbml_score,pca_score
V Kohli,IND,52.73,137.96,0.163,4.421,0.29,17.589,0.364,72.746,Best,F,0.554,0.169
RG Sharma,IND,31.32,139.24,0.192,3.786,0.121,9.779,0.264,43.61,Best,LCB,0.49,0.019
MJ Guptill,NZ,31.81,135.7,0.185,4.085,0.059,10.653,0.203,43.166,Best,LCB,0.492,0.029
Babar Azam,PAK,41.48,128.4,0.156,4.327,0.143,17.173,0.367,53.26,Best,F,0.538,0.122
PR Stirling,IRE,28.63,135.83,0.206,3.977,0.085,8.415,0.192,38.888,Best,LCB,0.485,0.004
AJ Finch,AUS,34.28,142.53,0.198,4.214,0.117,11.01,0.223,48.859,Best,LCB,0.493,0.035
DA Warner,AUS,32.88,141.3,0.195,4.04,0.111,10.949,0.263,46.459,Best,LCB,0.492,0.028
Mohammad Rizwan,PAK,49.07,127.3,0.144,4.342,0.219,18.918,0.37,62.466,Best,F,0.555,0.177
JC Buttler,ENG,35.01,144.66,0.189,3.61,0.21,10.88,0.22,50.645,Best,LCB,0.494,0.037
Mohammad Hafeez,PAK,26.46,122.03,0.159,3.028,0.12,9.759,0.13,32.289,Best,LCB,0.488,0.015
KS Williamson,NZ,33.29,123.01,0.143,3.376,0.129,14.141,0.2,40.95,Best,LCB,0.503,0.073
EJG Morgan,ENG,28.58,136.17,0.17,2.86,0.196,9.29,0.131,38.917,Best,LCB,0.485,0.004
Shoaib Malik,PAK,31.21,125.64,0.137,2.387,0.297,11.144,0.081,39.212,Best,LCB,0.496,0.044
Shakib Al Hasan,BAN,23.82,122.4,0.15,2.517,0.138,9.603,0.103,29.156,Good,LCB,0.48,-0.006
Q de Kock,SA,32.52,137.33,0.194,4.063,0.114,10.392,0.203,44.66,Best,LCB,0.493,0.032
KL Rahul,IND,37.75,139.12,0.178,4.265,0.118,13.338,0.382,52.518,Best,LCB,0.503,0.067
DA Miller,SA,34.09,144.64,0.165,2.556,0.343,10.02,0.101,49.308,Best,LCB,0.492,0.028
GJ Maxwell,AUS,28.4,150.97,0.197,3.133,0.156,9.1,0.178,42.875,Best,FL,0.495,-0.018
BB McCullum,NZ,35.66,136.21,0.185,4.143,0.143,11.4,0.243,48.572,Best,LCB,0.5,0.056
Mahmudullah,BAN,23.57,117.3,0.124,1.991,0.204,9.681,0.053,27.648,Good,LCB,0.483,0.0
AD Hales,ENG,30.95,138.35,0.197,3.933,0.107,10.053,0.187,42.819,Best,LCB,0.489,0.02
A Balbirnie,IRE,23.45,125.29,0.168,3.0,0.044,9.154,0.11,29.381,Good,FL,0.496,-0.015
RD Berrington,SCOT,32.77,132.46,0.16,3.182,0.195,11.87,0.156,43.407,Best,LCB,0.496,0.045
Mohammad Shahzad,AFG,30.07,133.62,0.199,4.286,0.043,9.5,0.2,40.18,Best,LCB,0.49,0.019
KJ O'Brien,IRE,21.21,130.92,0.164,2.398,0.097,7.971,0.068,27.768,Good,FL,0.488,-0.041
JP Duminy,SA,38.68,126.24,0.136,2.787,0.333,12.747,0.147,48.83,Best,F,0.534,0.098
